name,address,city,state,zip,phone,website,latitude,longitude,scope,source,facility_type,primary_focus,substances,age_groups,identity_factors,insurance,settings,therapy_approaches,languages
Lynn Comprehensive Treatment Center Habit Opco LLC,11 Circle Avenue,Lynn,MA,1905,781-595-2413 x106,https://www.ctcprograms.com/location/lynn-comprehensive-tr,42.4533028,-70.958813,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,woman,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Healthcare Resource Centers,175 Crescent Avenue,Chelsea,MA,2150,617-889-8779,https://www.hcrcenters.com/health-care-resource-centers-chelsea/,42.396243,-71.0232651,national,findtreatment.gov,SA,substance_use,alcohol|opioids,adult|young_adult,woman,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Behavioral Health Network (BHN) Carson Center Westfield Outpatient Trt,,Westfield,MA,1085,413-747-0705,https://www.bhninc.org,,,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,,,medicaid_medicare|private|uninsured,outpatient,cbt|mat,english
Spectrum Health Systems Inc Main Street,1023 Main Street,Worcester,MA,1603,508-797-6100,https://www.spectrumhealthsystems.org,42.2466932,-71.8282596,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adolescent,veteran|woman,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Recovery Centers of America Westminster Acute Treatment Services,9 Village Inn Road,Westminster,MA,1473,978-571-1700,https://www.recoverycentersofamerica.com/locations/westminster/,42.5426017,-71.8797382,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,veteran|woman,medicaid_medicare|private|uninsured|va_tricare,residential|telehealth,cbt|mat|twelve_step,english
Gandara Mental Health Center Brockton Outpatient Clinic,142 Crescent Street,Brockton,MA,2302,508-232-6670 x6701,https://www.gandaracenter.org,42.0814089,-71.0158849,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Casa Esperanza Inc Familias Unidas Outpatient Program,245 Eustis Street,Roxbury,MA,2119,617-445-1123 x1308,https://www.casaesperanza.org,42.3267786,-71.0751028,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,veteran|woman,medicaid_medicare,intensive_outpatient|outpatient|telehealth,cbt|mat|twelve_step,english
VOA Behavioral Health Services,1419 Hancock Street,Quincy,MA,2169,617-770-9690,https://www.voamass.org,42.2492393,-71.0027418,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,,veteran|woman,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Springfield Comprehensive Treatment Habit Opco LLC,511 East Columbus Avenue,Springfield,MA,1105,413-733-3488,https://www.ctcprograms.com/location/springfield-comprehen,42.0887191,-72.5800861,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,veteran|woman,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat|twelve_step,english
Monarch House,33 South 6th street,New Bedford,MA,2740,508-992-0800 x106,https://www.hptc.org,41.631787,-70.927499,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,woman,medicaid_medicare,residential|telehealth,cbt|mat|twelve_step,english
McLean Fernside,P.O. Box 1070,Princeton,MA,1541,978-464-2141,https://www.mcleanhospital.org/programs/fernside,,,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,woman,uninsured,residential,cbt|mat|twelve_step,english
Lowell Comprehensive Treatment Center,22 Olde Canal Drive,Lowell,MA,1851,978-452-5155 x210,https://www.ctcprograms.com/location/lowell-comprehensive-treatment-center/,42.6232198,-71.3509598,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,veteran|woman,medicaid_medicare|private|uninsured|va_tricare,intensive_outpatient|outpatient|telehealth,cbt|mat|twelve_step,english
Fall River Comprehensive Treatment Ctr Habit Opco LLC,22 Front Street,Fall River,MA,2721,508-676-1307,https://www.ctcprograms.com/location/fall-river-comprehensive-treatment-center/,41.6971527,-71.1468375,national,findtreatment.gov,SA,substance_use,alcohol|opioids,adult|young_adult,woman,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Healthcare Resource Centers,172 Newbury Street,Peabody,MA,1960,978-535-9190,https://www.hcrcenters.com/health-care-resource-centers-pe,42.5410949,-70.9872094,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,woman,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Motivating Youth Recovery,26 Queen Street,Worcester,MA,1610,508-860-1244,https://www.communityhealthlink.org/program/motivating-youth-recovery-myr,42.2592467,-71.8149758,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adolescent|adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,residential,cbt|mat|twelve_step,english
AdCare Outpatient Worcester,95 Lincoln Street,Worcester,MA,1605,508-453-3294,https://www.adcare.com,42.27545,-71.7955167,national,findtreatment.gov,SA,dual_diagnosis,alcohol,adult|young_adult,veteran|woman,medicaid_medicare|private|uninsured,intensive_outpatient|outpatient|telehealth,cbt|mat,english
Spectrum Health Systems Inc Clinical Support Services,155 Oak Street,Westborough,MA,1581,508-898-1570,https://www.spectrumhealthsystems.org,42.2864785,-71.6267758,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,woman,medicaid_medicare|uninsured,residential,cbt|mat|twelve_step,english
Tapestry Health Systems Inc,1985 Main Street,Springfield,MA,1103,413-363-9472,https://www.tapestryhealth.org,42.1072373,-72.5973525,national,findtreatment.gov,SA,substance_use,alcohol|opioids,adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient,mat,english
Old Colony Comprehensive Counseling,104 Torrey Street,Brockton,MA,2301,508-427-4383,https://www.oldcolonyymca.org/community-social-services/counseling,42.0731434,-71.0461553,national,findtreatment.gov,SA,substance_use,alcohol,,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
SSTAR Lifeline Program,1010 South Main Street,Fall River,MA,2724,508-235-5010 x4019,https://www.SSTAR.org,41.6907377,-71.1651585,national,findtreatment.gov,SA,substance_use,alcohol|opioids,adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat|twelve_step,english
Hector Reyes House,27 Vernon Street,Worcester,MA,1610,508-459-1801,https://www.lahaworc.org,42.2529532,-71.796206,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,veteran,medicaid_medicare|private,residential|telehealth,cbt|mat|twelve_step,english
Boston Comprehensive Treatment Center Habit Opco LLC,99 Topeka Street,Boston,MA,2118,617-442-1499,https://w	www.ctcprograms.com/location/boston-comprehensive-treatment-center/,42.3335633,-71.0664439,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,veteran|woman,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Dimock Center Askia Academy at Dimock,9 Notre Dame Street,Boston,MA,2119,617-442-8800,https://www.Dimock.org,42.3189224,-71.0967851,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,woman,medicaid_medicare|private|uninsured,intensive_outpatient|outpatient|residential|telehealth,cbt|mat,english
Gandara Mental Health Center Outpatient and Recovery Services Div,85 Saint George Road,Springfield,MA,1104,413-736-0395,https://www.gandaracenter.org,42.108515,-72.6022447,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,woman,medicaid_medicare|private|uninsured,intensive_outpatient|outpatient|telehealth,cbt|mat,english
Spectrum Health Systems Inc,176 Main Street,Southbridge,MA,1550,508-765-5940,https://www.spectrumhealthsystems.org,42.0742991,-72.0310828,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
North Suffolk Community Services East Boston Counseling Center,14 Porter Street,Boston,MA,2128,866-781-6727,https://www.northsuffolk.org,42.3748077,-71.0380302,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,,woman,medicaid_medicare|private|uninsured|va_tricare,intensive_outpatient|outpatient|telehealth,cbt|mat,english
CASPAR House II,3 Summit Avenue,Somerville,MA,2143,617-623-5277,https://www.baycovehumanservices.org/caspar,42.3838459,-71.0956259,national,findtreatment.gov,SA,dual_diagnosis,alcohol,adult|young_adult,veteran,medicaid_medicare|private|uninsured|va_tricare,residential|telehealth,cbt|mat|twelve_step,english
Bay Cove Treatment Center,66 Canal Street,Boston,MA,2114,617-371-3030,https://www.baycovehumanservices.org,42.3636637,-71.059666,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,woman,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
McLean Ambulatory and Residential Treatment Center at Naukeag,211 North Main Street,Petersham,MA,1366,800-230-8764,https://www.mcleanhospital.org/programs/ambulatory-treatment-center-naukeag,42.5162327,-72.1840756,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,woman,medicaid_medicare|private|uninsured|va_tricare,residential,cbt|mat|twelve_step,english
ServiceNet Inc Orange Recovery House,35 Congress Street,Orange,MA,1364,978-544-6507,https://servicenet.org,,,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,veteran,medicaid_medicare,residential,cbt|mat|twelve_step,english
Boston Medical Center/Brighton BMC BCAP,736 Cambridge Street,Brighton,MA,2135,617-789-3000 x2574,https://www.bmchealthsystem.org/bmc-south/departments,42.3491203,-71.1483793,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,veteran|woman,medicaid_medicare|private|uninsured|va_tricare,intensive_outpatient|outpatient|residential|telehealth,mat,english
North Suffolk Community Services Meridian House,408 Meridian Street,Boston,MA,2128,866-781-6727,https://www.northsuffolk.org,42.3804071,-71.039586,national,findtreatment.gov,SA,dual_diagnosis,alcohol,adult|young_adult,woman,medicaid_medicare|private|uninsured|va_tricare,residential|telehealth,cbt|mat,english
Advocates Community Counseling Waltham,675 Main Street,Waltham,MA,2452,781-893-5110,https://www.advocates.org,42.3763771,-71.2369118,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,,veteran|woman,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Advocates Community Counseling Harvard,257 Ayer Road,Harvard,MA,1451,978-772-1846,https://www.advocates.org,42.53409488,-71.57719226,national,findtreatment.gov,SA,dual_diagnosis,alcohol,,veteran|woman,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Behavioral Health Network (BHN) Liberty Street Clinic Outpatient Trt,,Springfield,MA,1104,413-734-3151,https://www.bhninc.org,,,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|older_adult|young_adult,woman,medicaid_medicare|private|uninsured|va_tricare,outpatient|residential|telehealth,cbt|mat|twelve_step,english
MENTOR South Bay,541 Main Street,South Weymouth,MA,2190,781-331-7866,https://mentorsouthbay.com,42.1879521,-70.9560209,national,findtreatment.gov,SA,substance_use,alcohol,adolescent,,medicaid_medicare|private,outpatient|telehealth,cbt|mat,english
Mentor South Bay,22 Old Canal Drive,Lowell,MA,1851,978-453-6800,https://mentorsouthbay.com,42.6232198,-71.3509598,national,findtreatment.gov,SA,substance_use,alcohol|opioids,adolescent,,medicaid_medicare|private|uninsured,intensive_outpatient|outpatient|telehealth,cbt|mat,english
Behavioral Health Network (BHN) City Clinic,,Holyoke,MA,1040,413-747-0705,https://www.bhninc.org,,,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,,,medicaid_medicare|private|uninsured,outpatient|residential,cbt|mat|twelve_step,english
Brien Center MH/Subst Abuse Servs/Satellite,251 Fenn Street,Pittsfield,MA,1201,413-499-0412 x1374,https://www.briencenter.org,42.4499413,-73.2482421,national,findtreatment.gov,SA,dual_diagnosis,alcohol,adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Healthcare Resource Centers,9 Forbes Road,Woburn,MA,1801,781-838-6757,https://www.hcrcenters.com/health-care-resource-centers-woburn/,42.4949767,-71.121642,national,findtreatment.gov,SA,substance_use,alcohol|opioids,adult|young_adult,woman,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
River Valley Counseling Center Satellite Office,120 Maple Street,Springfield,MA,1103,413-737-2437,https://www.rvcc-inc.org,42.100634,-72.5809151,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adolescent,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat|twelve_step,english
Steppingstone Inc Fall River Outpatient Clinic,279 North Main Street,Fall River,MA,2720,508-679-0033,https://www.steppingstoneinc.org,41.7057289,-71.1546732,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,veteran|woman,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Johnson Street Womens Program Bridgewell,10 Dearborn Road,Peabody,MA,1960,781-584-8490,https://www.bridgewell.org,,,national,findtreatment.gov,SA,dual_diagnosis,alcohol,adult|young_adult,veteran|woman,medicaid_medicare|private,outpatient|residential|telehealth,cbt|mat|twelve_step,english
Berkshire Medical Center McGee Unit,725 North Street,Pittsfield,MA,1201,413-447-2000,https://www.berkshirehealthsystems.org,42.4595633,-73.2493172,national,findtreatment.gov,SA,substance_use,alcohol|opioids,adult|young_adult,woman,medicaid_medicare|private|uninsured|va_tricare,residential,mat|twelve_step,english
CleanSlate Centers,92 Grape Street,New Bedford,MA,2740,774-202-2264,https://www.cleanslatecenters.com,41.6240441,-70.9384724,national,findtreatment.gov,SA,substance_use,alcohol|opioids,adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,mat,english
North Suffolk Community Services Chelsea Counseling Center,301 Broadway,Chelsea,MA,2150,866-781-6727,https://www.northsuffolk.org,42.3910401,-71.0366372,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
North Suffolk Community Services East Boston Counseling Center,14 Porter Street,Boston,MA,2128,866-781-6727,https://www.northsuffolk.org,42.3748077,-71.0380302,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,intensive_outpatient|outpatient|telehealth,cbt|mat,english
North Suffolk Community Services Freedom Trail Clinic,25 Staniford Street,Boston,MA,2114,866-781-6727,https://www.northsuffolk.org,42.3625908,-71.0636032,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Mentor South Bay,103 Commercial Street,Brockton,MA,2302,508-580-4691,https://www.mentorsouthbay.com,42.0828293,-71.0157431,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Mentor South Bay,22 Old Canal Drive,Lowell,MA,1851,978-453-6800,https://mentorsouthbay.com,42.6232198,-71.3509598,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Mentor South Bay,360 Merrimack Street,Lawrence,MA,1843,978-688-4830 x1150,https://mentorsouthbay.com,42.7046864,-71.1441826,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Mentor SouthBay Sevita,324 Clark Street,Worcester,MA,1606,508-791-4976 x1253,https://www.mentorsouthbay.com,42.3118184,-71.7748872,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt,english
Department of Mental Health Brockton Multi Service Center,165 Quincy Street,Brockton,MA,2302,508-897-2000,https://www.mass.gov/,42.0898323,-70.9911722,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|residential|telehealth,cbt|mat,english
HRI Hospital,227 Babcock Street,Brookline,MA,2446,617-731-3200,https://hrihospital.com,42.3507761,-71.1212243,national,findtreatment.gov,MH,dual_diagnosis,,adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,intensive_outpatient|outpatient|residential,cbt|mat,english
Dr John C Corrigan Mental Hlth Center,49 Hillside Street,Fall River,MA,2720,508-235-7200 x7400,https://www.mass.gov/service-details/southeast-area,41.7075293,-71.1457956,national,findtreatment.gov,MH,mental_health,,adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,intensive_outpatient|outpatient|residential,cbt|mat,english
Advocates Community Counseling Marlborough,340 Maple Street,Marlborough,MA,1752,508-485-9300,https://www.advocates.org,42.3358223,-71.5411446,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,,veteran|woman,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
River Valley Counseling Center Satellite Office,249 Exchange Street,Chicopee,MA,1020,413-594-2141,https://www.rvcc-inc.org,42.1481266,-72.607771,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
River Valley Counseling Center Satellite Office,120 Maple Street,Springfield,MA,1103,413-737-2437,https://www.rvcc-inc.org,42.100634,-72.5809151,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Arbour Hospital Dual Diagnosis Treatment,49 Robinwood Avenue,Jamaica Plain,MA,2130,617-522-4400,https://arbourhospital.com,42.3157847,-71.112278,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,residential,cbt|mat,english
Bay State Community Services Inc,1120 Hancock Street,Quincy,MA,2169,617-471-8400,https://www.baystatecs.org,42.2544761,-71.0055279,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Walker Community Counseling Needham Campus,1968 Central Avenue,Needham,MA,2492,781-292-2196,https://www.walkercares.org,42.2599107,-71.2693706,national,findtreatment.gov,MH,mental_health,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Marthas Vineyard Community Servs Island Counseling Center/Outpatient,111 Edgartown Road,Vineyard Haven,MA,2568,508-693-7900 x241,https://www.mvcommunityservices.org,,,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Youth Opportunities Upheld Inc Seven Hills Behavioral Health,135 Gold Star Boulevard,Worcester,MA,1606,508-459-6400,https://www.sevenhills.org/cfbh,42.2936884,-71.8031151,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Mental Health Clinic Community Behavioral Health Center,160 Osborn Street,Fall River,MA,2724,508-676-5708,https://cfservices.org,41.692431,-71.1669516,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Stetson School Inc,455 South Street,Barre,MA,1005,978-355-4541,https://www.sevenhills.org/programs/stetson-school-at-seve,42.409974,-72.1085912,national,findtreatment.gov,MH,mental_health,,adolescent|adult|young_adult,,medicaid_medicare|uninsured,residential,cbt|mat,english
CHD OBHS Springfield,367 Pine Street,Springfield,MA,1105,413-737-1426,https://www.chd.org/,42.0940448,-72.5742185,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
CHD Outpatient Behavioral Health Servs,102 Main Street,Greenfield,MA,1301,413-774-6252,https://www.chd.org,42.587965,-72.605304,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
CHD Outpatient Behavioral Health Servs,131 West Main Street,Orange,MA,1364,978-544-2148,https://www.chd.org,42.5918639,-72.3164749,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Eliot Community Human Services Eliot Center/Everett,173 Chelsea Street,Everett,MA,2149,781-388-6200,https://www.eliotchs.org,42.40395,-71.0488018,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Advocates Community Counseling Marlborough,340 Maple Street,Marlborough,MA,1752,508-485-9300,https://www.advocates.org,42.3358223,-71.5411446,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Brandon Residential Treatment Ctr,27 Winter Street,Natick,MA,1760,508-655-6400 x204,https://www.brandonschool.org,42.3193149,-71.3380406,national,findtreatment.gov,MH,mental_health,,adolescent|adult,,medicaid_medicare|private|uninsured|va_tricare,residential,cbt|mat,english
Riverside OP Center at Norwood,190 Lenox Street,Norwood,MA,2062,781-769-8670,https://www.riversidecc.org,42.1891546,-71.1983613,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private,outpatient|telehealth,cbt|mat,english
Open Sky Community Services Ives House Residence,,Worcester,MA,1610,508-757-8636,https://www.openskycs.org,,,national,findtreatment.gov,MH,mental_health,,adolescent|adult|young_adult,,private,residential,cbt|mat,english
North End Waterfront Health Behavioral Health/Substance Use Dept,332 Hanover Street,Boston,MA,2113,617-643-1195,https://northendwaterfronthealth.org,42.3648007,-71.0537232,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Brighton Allston Mental Health Assoc A Program of Italian Home for Children,77 Warren Street,Brighton,MA,2135,617-787-1901 x0,https://www.italianhome.org,42.3484365,-71.1423915,national,findtreatment.gov,MH,mental_health,,adolescent|adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt,english
Sheehan Womens Program Lowell House Inc,,Lowell,MA,1852,978-640-0840,https://www.lowellhouseinc.org,,,national,findtreatment.gov,SA,dual_diagnosis,alcohol,adult|young_adult,veteran|woman,,residential,cbt|mat,english
Aspire Health Alliance,460 Quincy Avenue,Quincy,MA,2169,617-847-1950,https://www.aspirehealthalliance.org/,42.2385863,-70.9800815,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|residential|telehealth,cbt|mat,english
Aspire Health Alliance,1501 Washington Street,Braintree,MA,2184,617-847-1950,https://www.aspirehealthalliance.org,42.1898636,-71.0112392,national,findtreatment.gov,MH,mental_health,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,intensive_outpatient|outpatient|telehealth,cbt|mat,english
Gandara Mental Health Center Outpatient Services Division,2155 Main Street,Springfield,MA,1104,413-736-0395,https://www.gandaracenter.org,42.1095206,-72.6004714,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Community Counseling of Bristol County Behavioral Health Adult Counseling,1 Washington Street,Taunton,MA,2780,508-828-9116,https://www.comcounseling.org,41.9006623,-71.098632,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
JRI Behavioral Health Center Southeast Behavioral Health Center,35 Summer Street,Taunton,MA,2780,508-828-1308,https://www.jri.org,41.9002201,-71.0882861,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Family Continuity/Program of Advocates,76 Church Street,Whitinsville,MA,1588,508-234-4181,https://advocates.org,42.1113822,-71.6612539,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
Edinburg Center Inc,205 Burlington Road,Bedford,MA,1730,781-862-3600,https://www.edinburgcenter.org/,42.5018766,-71.237769,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,veteran,medicaid_medicare|private|uninsured|va_tricare,intensive_outpatient|outpatient|telehealth,cbt|mat,english
Healthcare Resource Centers Community Substance Abuse Centers,130 Southampton Road,Westfield,MA,1085,413-568-6600,https://HCRCenters.com,42.1451598,-72.7313666,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,veteran|woman,medicaid_medicare|private|uninsured,outpatient|telehealth,cbt|mat,english
SMOC Behavioral Healthcare,7 Bishop Street,Framingham,MA,1702,508-879-2250,https://www.smoc.org,,,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Gosnold Behavioral Health Centerville Outpatient,1185 Falmouth Road,Centerville,MA,2632,800-444-1554,https://www.gosnold.org,41.6578546,-70.3301638,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,intensive_outpatient|outpatient|telehealth,cbt|mat,english
Gosnold Behavioral Health Falmouth Outpatient,196 Ter Heun Drive,Falmouth,MA,2540,508-548-7118,https://www.gosnold.org,41.5663137,-70.6259315,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Gosnold Behavioral Health Stoughton Outpatient,909 Sumner Street,Stoughton,MA,2072,508-584-5190,https://www.gosnold.org,42.0998396,-71.0819644,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,intensive_outpatient|outpatient|telehealth,cbt|mat,english
Behavioral Health Network (BHN) Liberty Street Clinic Outpatient Trt,,Springfield,MA,1104,413-734-3151,https://www.bhninc.org,,,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|residential|telehealth,cbt|mat,english
Behavioral Health Network (BHN) City Clinic,,Holyoke,MA,1040,413-747-0705,https://www.bhninc.org,,,national,findtreatment.gov,MH,dual_diagnosis,,adolescent|adult|older_adult|young_adult,,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
Spectrum Health Systems Inc Outpatient Services,585 Lincoln Street,Worcester,MA,1605,508-854-3320,https://www.spectrumhealthsystems.org,42.2962808,-71.7689518,national,findtreatment.gov,SA,dual_diagnosis,alcohol|opioids,adult|young_adult,veteran|woman,medicaid_medicare|private|uninsured|va_tricare,outpatient|telehealth,cbt|mat,english
