name,address,city,state,zip,phone,website,primary_focus,substances,age_groups,identity_factors,insurance,settings,therapy_approaches,languages,dmh_region,notes
McLean Hospital Mystic Valley Elder Services 781-324-7705 Northeast Independe Living Program 978-687-4288 2019 DMH MULTICULTURA,20 Ballard Road,Lawrence,MA,01843,800-333-0338,https://mcleanhospital.org,mental_health,alcohol,adolescent|adult|older_adult,accessibility|lgbtq,,outpatient|residential,,asl|english|french|haitian_creole|russian|spanish,Northeast,DMH Multicultural Directory 2019
Refugee & Immigran Assistance Center (RIAC) Russian Community Association of Massachusetts 781-593-0100 South Bay Communit Services 978-542-1951 978-674-5400 Other locations in Lawrenc and Malden southbaycommunityser 2019 DMH MULTICULTURA,22 Old Canal Drive,Lowell,MA,01851,781-593-0100,https://riacboston.org,dual_diagnosis,,adolescent|adult|older_adult,immigrant_refugee,,,,arabic|english|japanese|khmer|portuguese|russian|somali|spanish,Northeast,DMH Multicultural Directory 2019
Wayside Youth & Family Support Network YouForward 978-989-2047 Drop-in Centers: Mondays through Wednesdays 1:00-6:00pm YouForward-Entrance B i the back of the building Thursdays 2:00-5:00pm Haverhill YMCA 2019 DMH MULTICULTURA,81 Winter Street,Haverhill,MA,01830,978-460-8712,https://waysideyouth.org,mental_health,,adolescent|adult|young_adult,lgbtq,,outpatient,,english|khmer|portuguese|spanish,Northeast,DMH Multicultural Directory 2019
"Abelard Psychothera LLC Arbour Counseling Center West Yarmouth, MA 026 774-470-2294 508-678-2833 BAMSI (Brockton Ar Multi-Services, Inc. 508-580-8700",24 Mercedes Road,Brockton,MA,02301,781-344-0057,https://abelardpsychotherapy.co,dual_diagnosis,,adolescent|adult,,,intensive_outpatient|outpatient,,cape_verdean_creole|english|haitian_creole|portuguese|spanish,Southeast,DMH Multicultural Directory 2019
"Boston Chinatown Neighborhood Cente 617-770-0091 Bristol Elder Service 1 Father Devalles Blvd, # 508-675-2101 Cape Cod Behaviora Health Services Psychiatric Center 508-862-5566",27 Park Street,Hyannis,MA,02601,617-635-5129,https://bcnc.net,mental_health,,adolescent|adult|older_adult,,,outpatient|residential,,asl|cantonese|english|khmer|mandarin|portuguese|spanish|vietnamese,Southeast,DMH Multicultural Directory 2019
Catholic Charities Child & Family Servic 508-990-0894 508-996-8572 508-996-3154,543 North Street,New Bedford,MA,02740,508-587-0815,https://ccab.org,mental_health,,adolescent,immigrant_refugee,,,,cape_verdean_creole|english|french|haitian_creole|portuguese|spanish,Southeast,DMH Multicultural Directory 2019
"Community Counseli of Bristol County 508-823-6124 508-222-8812 Fairwinds-Nantucke Counseling Center 20 Vesper Lane, #L1 508-228-2689",5 Bank Street,Nantucket,MA,02554,508-828-9116,https://comcounseling.org,dual_diagnosis,,adolescent|adult,,,outpatient,,asl|english|korean|portuguese|spanish,Southeast,DMH Multicultural Directory 2019
"Family Continuity Program (FCP) 29 Bassett lane 508-862-0273 Family Service Association 508-677-3822 Health Imperatives 508-583-3005 Other locations in Falmou Vineyard Haven, Nantuck Plymouth, and New Bedfo",942 West Chestnut Stre,Brockton,MA,02301,508-747-6762,https://familycontinuity.org,mental_health,,adolescent|adult,lgbtq,,outpatient,,cape_verdean_creole|english|khmer|portuguese|spanish,Southeast,DMH Multicultural Directory 2019
High Point Treatme Center Immigrants Assistan Center 508-996-8113 immigrantsassistancecenter Independence Hous Inc. 160 Bassett Lane 508-771-6507,58 Crapo Street,Hyannis,MA,02601,508-224-7701,https://hptc.org,dual_diagnosis,,adolescent,immigrant_refugee|woman,,outpatient,,english|portuguese|spanish,Southeast,DMH Multicultural Directory 2019
"Italian Home for Children 5 Palmer Court East Freetown, MA 0271 Luminosity Behavior Health 781-344-0102 Martha’s Vineyard Community Service 508-693-7900",111 Edgartown Road,Oak Bluffs,MA,02557,508-763-4217,https://italianhome.org,dual_diagnosis,,adolescent,veteran,,,,asl|cape_verdean_creole|english|french|haitian_creole|portuguese|spanish,Southeast,DMH Multicultural Directory 2019
New Life Counselin 400-402 North Main Stre newlifecounselingcenter. Northeast Family Services 774-206-1125 northeastfamilyservices.c Pyramid Builders Counseling 617-481-8566 pyramidbuilderscounseling.,425 Pleasant street,Brockton,MA,02301,781-986-4800,,mental_health,,,,,outpatient,,cantonese|cape_verdean_creole|english|haitian_creole|mandarin|spanish,Southeast,DMH Multicultural Directory 2019
"Seven Hills Behavior Health New Bedford, MA 0274 South Shore Menta Health 617-847-1950 St. Vincent’s Home 508-679-8511",2425 Highland Avenue,Fall River,MA,02720,508-995-6360,https://sevenhills.org,dual_diagnosis,,adolescent|adult,,,intensive_outpatient|outpatient|residential,,asl|cantonese|cape_verdean_creole|english|french|haitian_creole|mandarin|portuguese|spanish|vietnamese,Southeast,DMH Multicultural Directory 2019
The Women’s Cente (Greater New Bedfo Women’s Center),405 County Street,New Bedford,MA,02740,508-996-3343,https://thewomenscenters.com,mental_health,,adolescent,woman,,residential,,english|portuguese|spanish,Southeast,DMH Multicultural Directory 2019
"A Positive Place Northampton, MA 0106 ms-services/hivaids AdCare West Springfield, MA 010 413-209-3124 AdLib 413-442-7047 2019 DMH MUL",215 North Street,Pittsfield,MA,01201,413-586-8288,https://cooleydickinson.org/pr,mental_health,,,accessibility|lgbtq|woman,,outpatient,,asl|english,Western MA,DMH Multicultural Directory 2019
"Anchor House Northampton, MA 0106 anchorhouseartists.o Ascentria Service for N Americans 413-787-0725 services/services-new americans Behavioral Health Network 413-747-0705 Other locations in Westfie Ware, Greenfield, and Holy 2019 DMH MUL",417 Liberty Street,Springfield,MA,01104,413-588-4337,https://ascentria.org/our-,dual_diagnosis,,adolescent,immigrant_refugee|lgbtq,,,,english|italian|russian|spanish,Western MA,DMH Multicultural Directory 2019
"Berkshire Immigran Center Brick House Commun Resource Center Turners Falls, MA 0137 413-863-9576 brickhousecommunity. Brien Center 413-499-0412 2019 DMH MUL",333 East Street,Pittsfield,MA,01201,413-445-4881,https://berkshireic.com,mental_health,,adolescent|adult,immigrant_refugee,,outpatient,,asl|english|russian|spanish,Western MA,DMH Multicultural Directory 2019
"Casa Latina Catholic Charities, Diocese of Springfie 413-452-0605 es/cca Center for Human Development 413-733-6624 Center for New Americans Northampton, MA 0106 413-587-0084 2019 DMH MUL",42 Gothic Street,Springfield,MA,01107,413-586-1569,https://casalatinainc.org,mental_health,,adolescent|older_adult,accessibility|immigrant_refugee|lgbtq,,,,english|mandarin|russian|spanish|urdu|vietnamese,Western MA,DMH Multicultural Directory 2019
"ORGANIZATIONS Center for Women a Community Clinical & Support Options Northampton, MA 0106 413-773-1314 Other locations include Greenfield, Pittsfield, Spring Athol, Amherst, Florenc Orange, and Gardner Community Action 413-774-2318 Northampton, MA 0106 413-582-4230 978-544-5423 2019 DMH MUL",167 South Main Street,Orange,MA,01364,413-545-0883,https://umass.edu/cwc,mental_health,,adolescent|adult,lgbtq|woman,,outpatient,,english|nepali|russian|spanish,Western MA,DMH Multicultural Directory 2019
ORGANIZATIONS DIAL/SELF Youth an Community Service Elizabeth Freeman Ce 413-499-2425 elizabethfreemancenter Fair Housing Cente 413-539-9796 2019 DMH MUL,57 Suffolk Street,Holyoke,MA,01040,413-774-7054,https://dialself.org,mental_health,,adolescent|adult|young_adult,homeless|immigrant_refugee|lgbtq,,,,english|spanish,Western MA,DMH Multicultural Directory 2019
"Franklin County Lif Path Gandara Center West Springfield, MA 010 413-736-8329 Guidewire Inc. 413-733-6100 413-443-3295 2019 DMH MUL",34 Depot Street,Pittsfield,MA,01201,413-773-5555,https://lifepathma.org,dual_diagnosis,,adolescent|adult|older_adult|young_adult,accessibility|lgbtq,,intensive_outpatient|residential,,asl|english|spanish,Western MA,DMH Multicultural Directory 2019
"Impact Center Springfield, MA youth-access-center Jewish Family Servic Western Massachuse 413-737-2601 2019 DMH MUL",15 Lenox Street,Springfield,MA,01108,413-654-1566,https://gandaracenter.org/imp,dual_diagnosis,,adolescent,immigrant_refugee,,,,arabic|english|french|nepali|somali|spanish|vietnamese,Western MA,DMH Multicultural Directory 2019
Martin Luther King J Family Services Massachusetts Society the Prevention of Cru to Children 413-532-9446 Mental Health Association 413-734-5376 2019 DMH MULT,995 Worthington Stree,Springfield,MA,01109,413-746-3655,https://mlkjrfamilyservices.org,mental_health,,adolescent|adult|young_adult,accessibility|homeless,,residential,,english|spanish,Western MA,DMH Multicultural Directory 2019
"Montague Catholic So Ministries Turners Falls, MA 0137 New England Learni Center for Women i Transition 413-772-0871 Northeast Center fo Youth and Familie Easthampton, MA 0102 800-360-6210 2019 DMH MULT",203 East Street,Greenfield,MA,01301,413-863-4804,https://mcsmcommunity.or,mental_health,,adolescent,woman,,intensive_outpatient|outpatient|residential,,english|spanish,Western MA,DMH Multicultural Directory 2019
"Northeast Family Serv West Springfield, MA 010 northeastfamilyservices Nuestras Raices, In 413-535-1789 Picknelly Adult an Family Education Cen 413-552-2990 progams/adult-basic education/picknelly-ad and-family-educatin-ce Roca Inc. 413-846-4301 2019 DMH MULT",29 School Street,Springfield,MA,01105,774-206-1125,https://nuestras-raices.org,mental_health,,adolescent|adult,,,outpatient,,english|spanish,Western MA,DMH Multicultural Directory 2019
"Safe Passage Northampton, MA 0106 ServiceNet Northampton, MA 0106 413-585-1300 Springfield Vietnam Cultural Center 413-733-9373 2019 DMH MULT",433 Belmont Avenue,Springfield,MA,01108,413-586-1125,https://safepass.org,dual_diagnosis,,adolescent|adult|older_adult|young_adult,accessibility|immigrant_refugee|lgbtq,,residential,,english|khmer|spanish|vietnamese,Western MA,DMH Multicultural Directory 2019
"Stavros Tapestry Health 413-586-2016 Other locations includ Greenfield, Holyoke, No Adams, Northampton, Pitts Springfield, and West Sprin Valley Opportunit Council 413-552-1554 413-552-1554 2019 DMH MULT",300 High Street,Holyoke,MA,01040,413-256-0473,https://stavros.org,mental_health,,adolescent|adult|older_adult|young_adult,accessibility|lgbtq,,,,arabic|asl|english|french|russian|spanish,Western MA,DMH Multicultural Directory 2019
"Viability, Inc. Walden Community Serv Learning Center for the Phone and TTY: 508-879-5 Video Phone: 774-999-094 Western Mass Recove Learning Communit 413-539-5941 413-372-5652 413-772-0715 Afiya (Peer-run respite hou Northampton, MA 2019 DMH MULT",74 Federal Street,Greenfield,MA,01301,413-584-1460,https://viability.org,mental_health,,adolescent|young_adult,accessibility,,,,asl|english|spanish,Western MA,DMH Multicultural Directory 2019
services (/how-to/apply-for-dmh-services),,,MA,,(413) 587-6200,https://www.mass.gov/how-to/apply-for-dmh-,mental_health,,young_adult,,,,,english,Western MA,Western Mass Young Adult Guide
training and presentation programs for community members.,,A Springfield Street Agawam,MA,01001,413-786-9139,https://namimass.org/support-and-,mental_health,,adolescent|young_adult,,,,,english,Western MA,Western Mass Young Adult Guide
"21 Olander Dr., Northampton, MA 01060","235 Chestnut St,",Springfield,MA,01103,(413) 585-1300,https://www.servicenet.org/services/child-and-adolescent-services/prevention-recovery-early-psychosis-prep-2/,mental_health,,adolescent|young_adult,,,,,english,Western MA,Western Mass Young Adult Guide
"Bowen Resource & Wellness Center, 235 Chestnut St, Springfield, MA","235 Chestnut St,",Springfield,MA,01103,(413) 372-5652,https://wildfloweralliance.org,mental_health,,adolescent|young_adult,,,,,english,Western MA,Western Mass Young Adult Guide
772-0715,"235 Chestnut St,",Springfield,MA,01103,866-641-2853,https://wildfloweralliance.org,mental_health,,adolescent|adult|young_adult,,,,,english,Western MA,Western Mass Young Adult Guide
Central Intake,,Boston,MA,02108,(413) 737-2439,https://www.mass.gov/childrens-,dual_diagnosis,,adolescent|young_adult,,,,,english,Western MA,Western Mass Young Adult Guide
Department of Mental Health and the Department of Public Health.,"41 Taylor Street,",Springfield,MA,01103,(413) 654-1566,https://www.springfieldimpactcenter.org/,mental_health,,adolescent|adult|young_adult,,,,,english,Western MA,Western Mass Young Adult Guide
sufficiency for themselves and their families.,,,MA,,(413) 552-1554,https://www.valleyopp.com/about-voc/our-,mental_health,,young_adult,,,,,english,Western MA,Western Mass Young Adult Guide
